AIRPORT_CODE,LATITUDE,LONGITUDE,DISPLAY_AIRPORT_NAME,STATE_NAME,STATE_CODE,COUNTRY_NAME,CITY_NAME
UXM,61.04444444,-158.14527778,47-Mile Mine Airport,Alaska,AK,United States,47-Mile Mine
APH,38.06861111,-77.31888889,A P Hill AAF,Virginia,VA,United States,Fort A P Hill
ODW,48.25166667,-122.67361111,A.J. Eisenberg,Washington,WA,United States,Oak Harbor
YXX,49.01916667,-122.38,Abbotsford Airport,British Columbia,BC,Canada,Abbotsford
U36,42.92111111,-112.88083333,Aberdeen Municipal,Idaho,ID,United States,Aberdeen
ABR,45.44666667,-98.4225,Aberdeen Regional,South Dakota,SD,United States,Aberdeen
TN4,35.15416667,-87.05694444,Abernathy Field,Tennessee,TN,United States,Pulaski
QBX,38.9,-97.23333333,Abilene Airport,Kansas,KS,United States,Abilene
ABI,32.41138889,-99.68194444,Abilene Regional,Texas,TX,United States,Abilene
SPI,39.84416667,-89.67805556,Abraham Lincoln Capital,Illinois,IL,United States,Springfield
ARA,30.03777778,-91.88388889,Acadiana Regional,Louisiana,LA,United States,New Iberia
MFV,37.64694444,-75.76111111,Accomack County,Virginia,VA,United States,Melfa
ADT,34.80416667,-96.67111111,Ada Regional,Oklahoma,OK,United States,Ada
ADK,51.88361111,-176.6425,Adak,Alaska,AK,United States,Adak Island
EKX,37.68611111,-85.925,Addington Field,Kentucky,KY,United States,Elizabethtown
ADS,32.96861111,-96.83638889,Addison,Texas,TX,United States,Dallas
SLK,44.38527778,-74.20611111,Adirondack Regional,New York,NY,United States,Saranac Lake/Lake Placid
01A,58.10944444,-152.90666667,Afognak Lake Airport,Alaska,AK,United States,Afognak Lake
VZF,58.0,-152.81666667,Afognak Straits Airport,Alaska,AK,United States,Afognak Straits
AFO,42.70888889,-110.94222222,Afton Municipal,Wyoming,WY,United States,Afton
NGM,13.44972222,144.75,Agana NAS,U.S. Pacific Trust Territories and Possessions,TT,United States,Guam
AIK,33.64944444,-81.685,Aiken Municipal,South Carolina,SC,United States,Aiken
FL6,26.73527778,-81.05111111,Airglades,Florida,FL,United States,Clewiston
AKK,56.93861111,-154.1825,Akhiok Airport,Alaska,AK,United States,Akhiok
KKI,60.91388889,-161.49333333,Akiachak Airport,Alaska,AK,United States,Akiachak
AKI,60.90277778,-161.23055556,Akiak Airport,Alaska,AK,United States,Akiak
LAK,68.22222222,-134.98583333,Aklavik Airport,Northwest Territories,NT,Canada,Aklavik
OQK,68.98333333,-163.44555556,Akolik Airport,Alaska,AK,United States,Akolik
AKC,41.0375,-81.46694444,Akron Fulton International,Ohio,OH,United States,Akron
CAK,40.915,-81.44361111,Akron-Canton Regional,Ohio,OH,United States,Akron
A97,68.98555556,-163.47972222,Akulik Air Strip,Alaska,AK,United States,Akulik
7AK,54.14472222,-165.60416667,Akun Airport,Alaska,AK,United States,Akun
KQA,54.13333333,-165.78333333,Akutan Airport,Alaska,AK,United States,Akutan
AUK,62.68305556,-164.72222222,Alakanuk Airport,Alaska,AK,United States,Alakanuk
NGZ,37.79055556,-122.32555556,Alameda NAS,California,CA,United States,Alameda
ALM,32.83944444,-105.99111111,Alamogordo White Sands Regional,New Mexico,NM,United States,Alamogordo
ALB,42.74916667,-73.80194444,Albany International,New York,NY,United States,Albany
OAJ,34.82916667,-77.61222222,Albert J Ellis,North Carolina,NC,United States,Jacksonville/Camp Lejeune
SPG,27.765,-82.62694444,Albert Whitted,Florida,FL,United States,Tampa
FEP,42.24611111,-89.58194444,Albertus,Illinois,IL,United States,Freeport
