CITY_NAME,LATITUDE,LONGITUDE
47-Mile Mine,61.04444444,-158.14527778
Abbotsford,49.01916667,-122.38
Aberdeen,42.61111111333333,-95.82388888666667
Abilene,34.577314816666664,-98.92333332999999
Ada,34.80416667,-96.67111111
Adak Island,51.88361111,-176.6425
Afognak Lake,58.10944444,-152.90666667
Afognak Straits,58.0,-152.81666667
Afton,39.643194445,-102.90208333000001
Aglaq,70.66277778,-154.83666667
Aguadilla,18.49472222,-67.12944444
Aiken,33.64944444,-81.685
Akhiok,56.93861111,-154.1825
Akiachak,60.91388889,-161.49333333
Akiak,60.90277778,-161.23055556
Aklavik,68.22222222,-134.98583333
Akolik,68.98333333,-163.44555556
Akron,40.70935185333334,-88.71083333000001
Akulik,68.98555556,-163.47972222
Akun,54.14472222,-165.60416667
Akutan,54.13333333,-165.78333333
Alabaster,33.17777778,-86.78333333
Alakanuk,62.68305556,-164.72222222
Alameda,37.79055556,-122.32555556
Alamogordo,32.84569444,-106.05013889
Alamosa,37.435,-105.86777778
Albany,37.142361115,-78.99819443999999
Albemarle,35.41666667,-80.15083333
Albertville,34.22916667,-86.25583333
Albuquerque,35.092083335,-106.70180555499999
Aleknagik,59.2825,-158.61777778
Aleneva,58.03333333,-152.9
Alert,82.51777778,-62.28055556
Alexander City,32.91472222,-85.96305556
Alexandria,36.19629629666667,-93.41305555333334
Alexandria Bay,44.31666667,-75.89972222
Alice,27.74083333,-98.02694444
Alice Arm,55.46666667,-129.48333333
Allakaket,66.55194444,-152.62222222
Allentown/Bethlehem/Easton,40.65222222,-75.44055556
Alliance,42.05333333,-102.80361111
Alma,45.915555555,-78.16499999999999
Alpena,45.07805556,-83.56027778
Alpine,57.02416667,-135.19101851666667
Alton,38.89,-90.04611111
Altoona,40.29638889,-78.32
Altus,34.68263889,-99.303194445
Amarillo,35.19472222,-101.76583332999999
Ambler,67.0875,-157.84583333
Amchitka Island,51.37861111,179.25861111
American Creek,62.04333333,-158.25638889
American Falls,42.79722222,-112.82527778
Americus,32.11083333,-84.18888889
Ames,41.99194444,-93.62194444
Amook Bay,57.45472222,-153.81305556
Anacortes,48.49861111,-122.6625
Anaheim,33.81666667,-117.93333333
Anahim Lake,52.45222222,-125.30444444
Anaktuvuk Pass,68.13361111,-151.74333333
Anchorage,61.206458335,-149.90361111250002
Andalusia/Opp,31.30833333,-86.39222222
Anderson,37.301527775,-84.16125
Andrews,32.33083333,-102.52972222
Angoon,57.50388889,-134.58333333
Angwin,38.58,-122.43555556
Aniak,61.58166667,-159.54305556
Anita Bay,56.19,-132.44583333
Ankeny,41.69138889,-93.56638889
Ann Arbor,42.22305556,-83.74555556
Annapolis,38.94277778,-76.56833333
Annette,55.04222222,-131.57083333
Annex Creek,58.31333333,-134.10416667
Anniston,33.58805556,-85.85805556
Antlers,34.1925,-95.64972222
Anvik,62.64722222,-160.19
Apalachicola,29.7275,-85.0275
Apple Valley,34.57527778,-117.18611111
Appleton,44.25805556,-88.51916667
Arcata/Eureka,40.97777778,-124.10833333
Arctic Village,68.11472222,-145.57944444
Ardmore,34.225416665,-97.07166667000001
Arecibo,18.45083333,-66.67555556
Arley Lake,70.74694444,-155.36083333
Arlington,40.412361110000006,-109.62666667
Artesia,32.85194444,-104.4675
Arviat,61.09388889,-94.07166667
Asbestos Hill,45.79166667,-71.99111111
Asbury Park,40.18333333,-74.11666667
Asheville,35.43444444,-82.54277778
Ashland,42.00263889,-94.5988194475
Ashley,46.02305556,-99.35277778
Aspen,39.22194444,-106.86833333
Astoria/Seaside,46.15805556,-123.87861111
Athens,36.18657407333333,-83.37222222333332
Atikokan,48.77416667,-91.63888889
Atka,52.22055556,-174.20611111
Atlanta,33.69781746142858,-84.43646825428571
Atlantic City,39.40875,-74.51722222000001
Atmautluak,60.86777778,-162.27416667
Atomic City,43.4325,-113.05555556
Atqasuk,70.46722222,-157.43555556
Attawapiskat,52.9275,-82.43194444
Attu,52.8325,173.17555556
Atwater,37.38055556,-120.56805556
Auburn,37.62564814666667,-97.19333333333333
Augusta,33.418333335,-82.00194443999999
Augusta/Waterville,44.426944445000004,-69.73638889
Aurora,42.240277776666666,-105.33240741000002
Austin,32.5936111125,-102.56013888999999
Austin/Albert Lea,43.66277778,-92.93305556
Avalon,33.40342592666667,-118.40499999666667
Avon Park,27.59138889,-81.52888889
Ayakulik River,57.25388889,-154.42222222
Aztec,36.83694444,-108.02861111
Babe Islands,55.21027778,-132.13194444
Bagdad,34.59277778,-113.17194444
Baie Comeau,49.1325,-68.20444444
Baie Johan Beetz,50.5,-62.91666667
Bainbridge,30.97166667,-84.63694444
Baker,44.83722222,-117.80916667
Baker Island,53.059305555,-130.09361110999998
Baker Lake,64.29888889,-96.07777778
Bakersfield,35.379305555,-119.026944445
Ballinger,31.67444444,-99.97694444
Baltimore,39.225648150000005,-76.58472222333334
Bandon,43.08638889,-124.40777778
Banff,51.2,-115.53333333
Bangor,44.8075,-68.82805556
Banning,33.9225,-116.85083333
Bar Harbor,44.44972222,-68.36166667
Baranof,57.08916667,-134.83138889
Bardstown,37.81444444,-85.49972222
Barnwell,33.25777778,-81.38833333
Barrow,70.787916665,-155.60770833499998
Barter Island,70.11305556,-143.65361111
Bartlesville,36.76333333,-96.01111111
Bartlett Cove,58.45527778,-135.88527778
Bartletts,58.224583335,-157.359444445
Bartow,27.94333333,-81.78333333
Batavia,43.03166667,-78.16972222
Batesville,35.04486111,-90.77013889
Bathurst,47.62944444,-65.74027778
Baton Rouge,30.53305556,-91.15
Battle Creek,42.30638889,-85.25
Battle Mountain,40.59916667,-116.87444444
Baudette,48.72833333,-94.61222222
Bay City,28.97333333,-95.86333333
Bay St. Louis,30.36777778,-89.45472222
Bayou La Batre,30.45527778,-88.21111111
Bear Creek,57.6175,-155.86722222
Bear Fish Camp,60.71027778,-151.72111111
Bear Lake,56.03666667,-160.26611111
Bearskin Lake,53.96555556,-91.02722222
Beatrice,40.30138889,-96.75416667
Beatty,36.86111111,-116.78638889
Beaufort,33.20888889,-79.33796296333334
Beaumont/Port Arthur,29.95083333,-94.02055556
Beaver,66.36222222,-147.40638889
Beaver Creek,62.41027778,-140.86888889
Beaver Falls,40.7725,-80.39138889
Beaver Inlet,53.8325,-166.3025
Beckley,37.78722222,-81.12416667
Bedford,40.465370369999995,-78.74925926
Bedwell Harbour,48.74722222,-123.22972222
Belen,34.645,-106.83361111
Belfast,44.40944444,-69.01194444
Bell Creek,60.78388889,-159.54027778
Bell Island,55.92944444,-131.57
Bella Bella,52.13972222,-128.06361111
Bella Coola,52.3875,-126.59583333
Bellaire,44.98861111,-85.19833333
Belle Chasse,29.86611111,-90.02222222
Bellefontaine,40.37222222,-83.81916667
Belleville,38.54527778,-89.83527778
Bellingham,48.79277778,-122.5375
Belmar/Farmingdale,40.18666667,-74.12444444
Beloit/Janesville,42.62027778,-89.04166667
Beluga,61.17277778,-151.04277778
Bemidji,47.443055555,-94.866666665
Bend,44.09444444,-121.20027778
Bend/Redmond,44.25416667,-121.15
Bennettsville,34.62194444,-79.7325
Bennington,42.89111111,-73.24611111
Benton Harbor/St. Joseph,42.12861111,-86.42611111
Bentonville,36.34527778,-94.21944444
Berens River,52.35888889,-97.01805556
Berlin,42.176805555,-73.061805555
Bermuda Dunes,33.74833333,-116.27472222
Bernard,44.97972222,-114.73472222
Berry Island,50.60833333,-126.84444444
Bessemer,33.3125,-86.92638889
Bethel,55.05222222333333,-131.75472222
Bethel2,44.50055556,-71.87833333
Bettles,66.91388889,-151.52916667
Beverly,42.58416667,-70.91611111
Bible Camp,57.92638889,-156.08333333
Biddeford,43.46416667,-70.4725
Big Bay,58.5625,-152.59611111
Big Bay Marina,50.38333333,-125.13333333
Big Bear City,34.26388889,-116.85611111
Big Creek,57.66666667,-157.58333333
Big Delta,63.99472222,-145.72027778
Big Lake,61.53472222,-149.8125
Big Mountain,59.36111111,-155.25888889
Big Piney,42.58222222,-110.10888889
Big Port Walter,56.38333333,-134.65
Big Rapids,43.72277778,-85.50416667
Big River,61.85944444,-154.27666667
Big Spring,32.258055555,-101.47777778
Big Trout Lake,53.81777778,-89.89694444
Billings,45.80777778,-108.54361111
Biloxi,30.41055556,-88.92444444
Binghamton,42.20833333,-75.97972222
Birch Creek,66.27444444,-145.81805556
Birmingham,33.56388889,-86.75222222
Bisbee,31.36388889,-109.88305556
Bishop,37.37305556,-118.36361111
Bismarck/Mandan,46.77277778,-100.74583333
Black River Falls,44.25083333,-90.85527778
Blackfoot,43.20916667,-112.34972222
Blacksburg,37.20777778,-80.40777778
Blaine,48.99,-122.7325
Blair,41.41472222,-96.10888889
Blairstown,40.97111111,-74.9975
Blakely Island,48.57888889,-122.82638889
Blanc Sablon,51.43361111,-57.21666667
Blanding,37.58333333,-109.48333333
Blear Lake,64.33333333,-147.5
Blind Channel,50.40194444,-125.41916667
Bliss Landing,50.03333333,-124.82222222
Block Island,41.16805556,-71.57777778
Bloomington,39.14611111,-86.61666667
Bloomington/Normal,40.47722222,-88.91583333
Blue Bell,40.1375,-75.26527778
Blue Fox Bay,58.18333333,-152.13333333
Bluff,64.59055556,-163.77527778
Bluffton,40.88555556,-83.86861111
Blythe,33.61916667,-114.71694444
Blytheville,35.9525,-89.88736111
Boca Raton,26.37083333,-80.10833333
Boise,43.56444444,-116.22277778
Bonaventure,48.07111111,-65.46027778
Bonners Ferry,48.72583333,-116.29527778
Borger,35.70083333,-101.39361111
Bornite/Ruby Creek,67.10166667,-156.92916667
Borrego Springs,33.25916667,-116.32083333
Boston,42.354629630000005,-71.10768518666667
Boswell Bay,60.42305556,-146.14583333
Boulder City,35.9475,-114.86138889
Boundary,64.07833333,-141.11333333
Bowling Green,39.177777774999996,-85.025
Bowman,46.18694444,-103.42805556
Boxborough,42.48472222,-71.54444444
Boyne Falls,45.16583333,-84.92416667
Bozeman,45.77722222,-111.15027778
Bradford,41.80305556,-78.64
Bradley Lake,59.77611111,-151.96361111
Bradley Lake Project,59.79166667,-151.26666667
Brady,31.17916667,-99.32388889
Brainerd,46.40416667,-94.13361111
Brandon,49.91,-99.95222222
Branson,36.59180555499999,-93.273194445
Brawley,32.99305556,-115.51722222
Brazoria,28.98222222,-95.57972222
Bremerton,47.49027778,-122.76472222
Brevig Mission,65.33138889,-166.46583333
Brewster,48.105,-119.72055556
Bridgeport,41.16333333,-73.12611111
Bridger,45.29166667,-108.92583333
Bridgewater,38.36666667,-78.96027778
Brigham City,41.55444444,-112.06222222
