,AIRPORT,CITY,STATE,CITY_MARKET_ID
0,ANI,Aniak,AK,30304
1,ANV,Anvik,AK,30313
2,AUK,Alakanuk,AK,30416
3,BET,Bethel,AK,30113
4,CHU,Chuathbaluk,AK,30996
5,CKD,Crooked Creek,AK,31028
6,EMK,Emmonak,AK,31550
7,FAI,Fairbanks,AK,31517
8,GAL,Galena,AK,31844
9,HCR,Holy Cross,AK,32087
10,KGX,Grayling,AK,32676
11,KLG,Kalskag,AK,32719
12,KSM,St. Mary's,AK,32807
13,KTS,Brevig Mission,AK,32822
14,MOU,Mountain Village,AK,33434
15,RSH,Russian Mission,AK,34627
16,SHX,Shageluk,AK,34816
17,SLQ,Sleetmute,AK,34880
18,SVA,Savoonga,AK,35049
19,AIN,Wainwright,AK,30225
20,ANC,Anchorage,AK,30299
21,KKI,Akiachak,AK,32709
22,MCG,McGrath,AK,33196
23,OOK,Toksook,AK,33894
24,PAQ,Palmer,AK,34013
25,UNK,Unalakleet,AK,35478
26,CZF,Cape Romanzof,AK,31241
27,EHM,Cape Newenham,AK,31512
28,KKH,Kongiganak,AK,32708
29,KUK,Kasigluk,AK,32831
30,NUP,Nunapitchuk,AK,33770
31,RBY,Ruby,AK,34474
32,RDV,Red Devil,AK,34493
33,SRV,Stony River,AK,34987
34,SXP,Sheldon Point,AK,35085
35,ATK,Atqasuk,AK,30396
36,ATT,Atmautluak,AK,30405
37,BTI,Barter Island,AK,30775
38,LNI,Lonely,AK,30032
39,PIZ,Point Lay,AK,34125
40,WTK,Noatak,AK,31464
41,WTL,Tuntutuliak,AK,35862
42,KWN,Quinhagak,AK,32853
43,HSL,Huslia,AK,32214
44,HPB,Hooper Bay,AK,32195
45,IAN,Kiana,AK,32268
46,ABL,Ambler,AK,30139
47,GMT,Granite Mountain,AK,30003
48,ORV,Noorvik,AK,33942
49,FWL,Farewell,AK,31825
50,SMK,St. Michael,AK,34895
51,WLK,Selawik,AK,30020
52,PQS,Pilot Station,AK,34234
53,GLV,Golovin,AK,31941
54,SHG,Shungnak,AK,34804
55,BRW,Barrow,AK,30107
56,BVU,Beluga,AK,36390
57,MLL,Marshall,AK,33369
58,SKK,Shaktoolik,AK,34856
59,VAK,Chevak,AK,35554
60,CYF,Chefornak,AK,31227
61,KOT,Kotlik,AK,32769
62,KWT,Kwethluk,AK,32855
63,SCC,Deadhorse,AK,30073
64,KAL,Kaltag,AK,32615
65,KYU,Koyukuk,AK,32868
66,NUL,Nulato,AK,33768
67,WMO,White Mountain,AK,35794
68,WBB,Stebbins,AK,35721
69,EEK,Eek,AK,31492
70,GAM,Gambell,AK,31845
71,PHO,Point Hope,AK,34102
72,BKC,Buckland,AK,30640
73,OME,Nome,AK,33873
74,MCI,Kansas City,MO,33198
75,MCC,Sacramento,CA,33192
76,SEA,Seattle,WA,30559
77,SIT,Sitka,AK,34828
78,JNU,Juneau,AK,32523
79,ONT,Ontario,CA,32575
80,BJI,Bemidji,MN,30631
81,CO3,Marina,CA,31093
82,HNL,Honolulu,HI,32134
83,ACY,Atlantic City,NJ,30158
84,ADQ,Kodiak,AK,30070
85,MFR,Medford,OR,33264
86,STL,St. Louis,MO,31123
87,CAE,Columbia,SC,30868
88,OAJ,Jacksonville/Camp Lejeune,NC,33795
89,ELM,Elmira/Corning,NY,31537
90,PBG,Plattsburgh,NY,34025
91,SJU,San Juan,PR,34819
92,LIH,Lihue,HI,32982
93,ROA,Roanoke,VA,34574
